Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
216,00:00:09.009,3.9545023148148153,1.8377604166666666,1.9746354166666666,8.051111111111112
217,00:00:09.051,3.1305844907407407,1.7493229166666666,1.3071875,6.335243055555556
218,00:00:09.092,5.021707175925926,1.8032465277777778,1.4735416666666667,11.788333333333334
219,00:00:09.134,3.4660127314814813,1.769670138888889,1.2934201388888888,7.334947916666667
220,00:00:09.176,2.5277835648148144,1.0360763888888889,1.0103819444444444,5.536892361111111
221,00:00:09.218,2.5435416666666666,1.6651041666666666,0.9275868055555555,5.037934027777778
222,00:00:09.259,1.9519155092592595,0.7698263888888889,0.8487152777777778,4.2372048611111115
223,00:00:09.301,1.879149305555556,0.8613194444444444,0.7694444444444445,4.006684027777778
224,00:00:09.343,3.5821875,2.11046875,1.0758159722222222,7.560277777777777
225,00:00:09.384,2.1978587962962965,0.9458680555555555,0.8475173611111111,4.8001909722222225
226,00:00:09.426,1.8769270833333334,0.8162326388888889,0.8121354166666667,4.002413194444444
227,00:00:09.468,2.35443287037037,1.5265625,0.8690451388888889,4.667690972222222
228,00:00:09.509,1.7999537037037037,0.7421006944444445,0.7974652777777778,3.860295138888889
229,00:00:09.551,1.6306770833333335,0.7029166666666666,0.7515625,3.4375520833333333
230,00:00:09.593,2.320173611111111,1.3853472222222223,0.88171875,4.693454861111111
231,00:00:09.635,1.7459375000000001,0.7597048611111111,0.7713541666666667,3.706753472222222
232,00:00:09.676,1.708900462962963,0.7603472222222222,0.76265625,3.6036979166666665
233,00:00:09.718,2.1479803240740742,1.3594618055555556,0.8345138888888889,4.249965277777778
234,00:00:09.760,1.7950231481481482,0.7715451388888889,0.7820138888888889,3.8315104166666667
235,00:00:09.801,1.8010416666666667,0.7733506944444445,0.7717708333333333,3.8580034722222223
236,00:00:09.843,2.1008680555555554,1.3266666666666667,0.8332118055555555,4.142725694444445
237,00:00:09.885,2.009461805555555,1.1545138888888888,0.8485243055555556,4.025347222222222
238,00:00:09.927,2.0478645833333338,1.2074305555555556,0.8535590277777778,4.082604166666667
239,00:00:09.968,2.401226851851852,1.5456597222222221,0.8687326388888889,4.7892881944444445
240,00:00:10.010,2.5699421296296294,1.1835590277777779,0.8842361111111111,5.64203125
241,00:00:10.052,1.8911631944444445,0.8536631944444445,0.7817534722222222,4.038072916666667
242,00:00:10.093,2.3870949074074073,1.3604166666666666,0.8800868055555555,4.92078125
243,00:00:10.135,1.7849247685185186,0.7922569444444445,0.74734375,3.815173611111111
244,00:00:10.177,1.773304398148148,0.723125,0.7538368055555555,3.842951388888889
245,00:00:10.219,2.0498032407407405,1.0260243055555556,0.8195833333333333,4.303802083333333
246,00:00:10.260,1.728402777777778,0.7317013888888889,0.7548263888888889,3.6986805555555557
247,00:00:10.302,1.661875,0.6889930555555556,0.7179340277777778,3.5786979166666666
248,00:00:10.344,1.7724016203703703,0.8662326388888889,0.8110069444444444,3.639965277777778
249,00:00:10.385,1.602164351851852,0.6889930555555556,0.7179513888888889,3.3995486111111113
250,00:00:10.427,1.4599074074074074,0.5993923611111112,0.6820486111111111,3.09828125
251,00:00:10.469,44.058310185185185,40.84748263888889,41.83336805555555,49.49407986111111
252,00:00:10.510,11.423975694444445,11.713871527777778,10.402274305555556,12.15578125
253,00:00:10.552,9.062135416666665,8.822708333333333,8.243454861111111,10.120243055555555
